dataset,rmse,loss,ece,threshold_calibration_error_less,threshold_calibration_error_greater,threshold_calibration_error_both,threshold_calibration_error_all,point_calibration_error,distribution_calibration_error,point_calibration_error_uniform_mass,val_point_calibration_error,val_point_calibration_error_uniform_mass,train_point_calibration_error,train_point_calibration_error_uniform_mass,train_true_vs_pred_loss,true_vs_pred_loss,decision_loss,posthoc_recalibration,train_frac,seed,num_layers,n_dim,epochs,n_bins,flow_type
nasdaq,0,gaussian_nll,0.016280386243078954,0.09840110689401627,0.09348395466804504,0.19188503921031952,0.1809002310037613,0.11594827473163605,0,0.05774665060411688,0.09602583199739456,0.10442914009867368,0.11622568219900131,0.09136866035863847,0.1846254149253014,0.0642090712753067,0.24708276987075806,iterative_point,1.0,0,0,,,141,
nasdaq,0,gaussian_nll,0.016280386243078954,0.09862539172172546,0.09338635206222534,0.1920117437839508,0.17818783223628998,0.1267210692167282,0,0.05085576870655814,0,0,0,0,0,0.0642090712753067,0.24708276987075806,,1.0,0,0,,,,
nasdaq,0,gaussian_nll,0.07950973510432194,0.10533928871154785,0.11268700659275055,0.2180262953042984,0.22622139751911163,0.13971318304538727,0,0.08823353052139282,0,0,0,0,0,0.3607933223247528,0.2828853726387024,average,1.0,0,0,,,,
