dataset,rmse,loss,ece,threshold_calibration_error_less,threshold_calibration_error_greater,threshold_calibration_error_both,threshold_calibration_error_all,point_calibration_error,distribution_calibration_error,point_calibration_error_uniform_mass,val_point_calibration_error,val_point_calibration_error_uniform_mass,train_point_calibration_error,train_point_calibration_error_uniform_mass,train_true_vs_pred_loss,true_vs_pred_loss,decision_loss,posthoc_recalibration,train_frac,seed,num_layers,n_dim,epochs,n_bins,flow_type
nasdaq,0,gaussian_nll,0.07947300258969799,0.09384842216968536,0.08692334592342377,0.18077176809310913,0.1931142956018448,0.11130376905202866,0,0.09149385988712311,0,0,0,0,0,0.4622720181941986,0.5203861594200134,average,1.0,0,0,,,,
nasdaq,0,gaussian_nll,0.0979176396475945,0.12857991456985474,0.09401246160268784,0.22259235382080078,0.21241842210292816,0.10885785520076752,0,0.11074762285019561,0.1331174373626709,0.16377410272596468,0.13586433231830597,0.15723379594258868,0.4686275627049415,0.25639076838904984,0.48123642802238464,iterative_point,1.0,0,0,,,44,
