dataset,rmse,loss,ece,threshold_calibration_error_less,threshold_calibration_error_greater,threshold_calibration_error_both,threshold_calibration_error_all,point_calibration_error,distribution_calibration_error,point_calibration_error_uniform_mass,val_point_calibration_error,val_point_calibration_error_uniform_mass,train_point_calibration_error,train_point_calibration_error_uniform_mass,train_true_vs_pred_loss,true_vs_pred_loss,decision_loss,posthoc_recalibration,train_frac,seed,num_layers,n_dim,epochs,n_bins,flow_type
nasdaq,0,gaussian_nll,0.14279744770120112,0.1676955223083496,0.1605239063501358,0.3282194137573242,0.3256361782550812,0.16801825165748596,0,0.2259894758462906,0,0,0,0,0,0.9878740310668945,1.0390934944152832,average,1.0,0,0,,,,
nasdaq,0,gaussian_nll,0.2874814849048925,0.3134583532810211,0.2599155008792877,0.5733739137649536,0.5828961730003357,0.28797778487205505,0,0.289757204041357,0.1967436671257019,0.19811079432921067,0.18953733146190643,0.2064397031586126,0.8216508517179838,1.1028740636925727,1.3008949756622314,iterative_point,1.0,0,0,,,10,
