dataset,rmse,loss,ece,threshold_calibration_error_less,threshold_calibration_error_greater,threshold_calibration_error_both,threshold_calibration_error_all,point_calibration_error,distribution_calibration_error,point_calibration_error_uniform_mass,val_point_calibration_error,val_point_calibration_error_uniform_mass,train_point_calibration_error,train_point_calibration_error_uniform_mass,train_true_vs_pred_loss,true_vs_pred_loss,decision_loss,posthoc_recalibration,train_frac,seed,num_layers,n_dim,epochs,n_bins,flow_type
nasdaq,0,gaussian_nll,0.014334247546022836,0.10360638797283173,0.1032247543334961,0.20683112740516663,0.19817830622196198,0.14565876126289368,0,0.04552816863609243,0,0,0,0,0,0.032595425677573155,0.1512414813041687,,1.0,0,0,,,,
nasdaq,0,gaussian_nll,0.014334247546022836,0.10361462086439133,0.10295984894037247,0.206574484705925,0.20108233392238617,0.12462083995342255,0,0.06086688833277249,0.13035285472869873,0.05729362023994595,0.16192935407161713,0.046953684917304284,0.04790444397927869,0.032595425677573155,0.1512414813041687,iterative_point,1.0,0,0,,,481,
nasdaq,0,gaussian_nll,0.008295136821639841,0.09989303350448608,0.09719333052635193,0.1970863938331604,0.19115765392780304,0.1470801830291748,0,0.04135184362530708,0,0,0,0,0,0.06034892052412033,0.1509694904088974,average,1.0,0,0,,,,
